,0
0,0.4544695560768435
1,2.3167546854041183
2,2.648351796479107
3,2.661718367612808
4,2.5670443785724677
5,2.648351796479107
6,2.645997446209387
7,2.6601620274043363
8,2.637142507375306
9,2.661443430144145
10,2.661718367612808
11,2.661718367612808
12,2.661718367612808
13,2.661718367612808
14,2.661718367612808
15,2.661718367612808
16,2.661718367612808
17,2.661718367612808
18,2.661718367612808
19,2.661718367612808
20,2.661718367612808
21,2.661718367612808
22,2.661718367612808
23,2.661718367612808
24,2.661718367612808
25,2.661718367612808
26,2.661718367612808
27,2.661718367612808
28,2.661718367612808
29,2.661718367612808
30,2.661718367612808
31,2.661718367612808
32,2.661718367612808
33,2.661718367612808
34,2.661718367612808
35,2.661718367612808
36,2.661718367612808
37,2.661718367612808
38,2.661718367612808
39,2.661718367612808
40,2.661718367612808
41,2.661718367612808
42,2.661718367612808
43,2.661718367612808
44,2.661718367612808
45,2.661718367612808
46,2.661718367612808
47,2.661718367612808
48,2.661718367612808
49,2.661718367612808
