,0
0,0.36608921672388783
1,0.31173300509291935
2,0.340295344411246
3,0.38952582616151465
4,0.34944150523016476
5,0.39515694385837363
6,1.305033043515786
7,2.488528096389499
8,2.8650886840743865
9,2.746332549627202
10,2.8509350644758835
11,2.8385170411035103
12,3.0390519736444603
13,2.822135449042069
14,3.046745754091464
15,3.048529836687807
16,3.0815423724901647
17,3.0721484572242557
18,3.0111586905774814
19,3.063641927513738
20,3.0282292137147833
21,3.063058582199174
22,3.080383486235715
23,3.0815423724901647
24,3.0728329658191966
25,3.0815423724901647
26,3.0815423724901647
27,3.0815423724901647
28,3.0815423724901647
29,3.0815423724901647
30,3.0815423724901647
31,3.0815423724901647
32,3.0815423724901647
33,3.0815423724901647
34,3.0815423724901647
35,3.0815423724901647
36,3.0815423724901647
37,3.0815423724901647
38,3.0815423724901647
39,3.0815423724901647
40,3.0815423724901647
41,3.0815423724901647
42,3.0815423724901647
43,3.0815423724901647
44,3.0815423724901647
45,3.0815423724901647
46,3.0815423724901647
47,3.0815423724901647
48,3.0815423724901647
49,3.0815423724901647
50,3.0815423724901647
51,3.0815423724901647
52,3.0815423724901647
53,3.0815423724901647
54,3.0815423724901647
55,3.0815423724901647
56,3.0815423724901647
57,3.0815423724901647
58,3.0815423724901647
59,3.0815423724901647
60,3.0815423724901647
