,0
0,0.24043028525976715
1,0.2334782554888218
2,0.3174816965429912
3,0.37236567957469185
4,0.33341559232500073
5,0.33474908346791027
6,0.2759803780989234
7,0.6615944195555487
8,2.308698138112375
9,2.7868237974559684
10,0.6162632665533072
11,2.7358872973510633
12,2.740372453785336
13,2.780110415537741
14,3.334188845230782
15,3.4036567918756138
16,3.3785226509886788
17,3.4898137196153054
18,3.5200371510408046
19,3.5194209181073837
20,3.5279911049251584
21,3.5515758170345983
22,3.449671463993471
23,3.469950097064895
24,3.1880529776625015
25,3.566717401235239
26,3.295874164816584
27,3.5752139796554654
28,3.575705555446533
29,3.607938753558893
30,3.267434851795861
31,3.5440135875936165
32,2.904306232443007
33,3.4514774782731017
34,3.55407255173035
35,3.4647767343139457
36,3.579296953266805
37,3.6191237670002003
38,3.5841124199280836
39,3.4881177202189293
40,3.6198544112661013
41,3.6562715297014283
42,3.558538571623584
43,3.717724482343632
44,3.7210265025667315
45,3.7063279702737866
46,3.7215374479987764
47,3.7160457425937
48,3.582585132843855
49,3.712142378021459
50,3.3006576522833284
51,3.8174757790890257
52,3.7352612646051884
53,3.770355764227694
54,3.528767521649548
55,3.87790056796008
56,3.8279124786043632
57,3.8796446158810958
58,3.8386568015630043
59,3.757825423623672
60,3.8605751904089494
61,3.894169671082968
62,3.8315944774039883
63,3.8852930044571745
64,3.8752913038358896
65,3.8353722236962415
66,3.8935993842979277
67,3.900896712085075
68,3.8943195681312903
69,3.8095654453490435
70,3.897244876374943
71,3.8956663553989923
72,3.8873723594410263
73,3.867160498111599
74,3.8897462837896333
75,3.897244876374943
76,3.8989700975257375
77,3.897244876374943
78,3.900896712085075
79,3.8931161181469345
80,3.901578210443978
81,3.900896712085075
82,3.900896712085075
83,3.897244876374943
84,3.8991584161474755
85,3.897244876374943
86,3.897244876374943
87,3.897244876374943
88,3.901578210443978
89,3.901578210443978
90,3.9011246052521806
91,3.8989307762074783
92,3.897244876374943
93,3.901578210443978
94,3.8991584161474755
95,3.901578210443978
96,3.901578210443978
97,3.901578210443978
98,3.897244876374943
99,3.901578210443978
100,3.8991584161474755
101,3.901578210443978
102,3.897244876374943
103,3.901578210443978
104,3.901578210443978
105,3.901578210443978
106,3.901578210443978
107,3.897244876374943
108,3.9011246052521806
109,3.901578210443978
110,3.901578210443978
111,3.901578210443978
112,3.901578210443978
113,3.901578210443978
114,3.901578210443978
115,3.901578210443978
116,3.901578210443978
117,3.901578210443978
118,3.901578210443978
119,3.901578210443978
120,3.901578210443978
121,3.901578210443978
