Iteration	Y	var_1	var_2	var_3	var_4
1.0	-0.12746674189905285	-0.6180710125168085	1.842416345414537	-1.0688981637669286	1.9793100106229131
2.0	-2.634345010559303	0.8769534020881844	-0.5764752240658328	1.1446854823095647	-0.27609402496050306
3.0	-0.24406028634020882	-1.9440173933666427	2.2379345319479294	0.06529443417355019	1.9621415523349723
4.0	-2.756984737709848	0.7751007162440677	0.847282736173419	2.9916184879478624	0.6075592837895956
5.0	-0.39345847171940984	-2.0392477827955275	-0.9373508749297654	-0.682728221732519	1.840469338182503
6.0	-2.7616353941689136	2.528121729686647	-0.8217218960895648	3.0	-1.5240248687258493
7.0	-2.771324884304665	1.500734557760107	-1.015140410250038	3.0	0.16564936514431625
8.0	-2.5905363783168216	0.49745741661832665	0.4830146394557823	3.0	-1.9616861221022686
9.0	-2.7695157355022952	3.0	1.1006495321396566	2.8084578331225067	-0.05941866395442381
10.0	-0.34455529366478393	3.0	-3.0	-0.30412952726423365	-3.0
11.0	-2.7693518621389956	1.7328123707524061	0.18762853385812495	2.641396087603505	-0.5282987056074128
12.0	-2.7684735539068748	3.0	-0.11006191371677954	3.0	3.0
13.0	-2.7717449615782264	3.0	3.0	3.0	3.0
14.0	-2.76528376502709	3.0	1.3022964436122861	3.0	1.9186808721171968
15.0	-2.6738347032411514	3.0	-3.0	3.0	3.0
16.0	-2.7763307536883586	3.0	3.0	3.0	-3.0
17.0	-2.770825912190865	3.0	3.0	3.0	-0.4082644193146003
18.0	-0.5735304347424939	-3.0	-3.0	3.0	-3.0
19.0	-2.7698887113396693	3.0	1.2130691009699168	3.0	-2.2490566759891713
20.0	-2.780928560377682	3.0	-1.1610456289879438	3.0	0.9946084795210526
21.0	-2.734065946374971	1.2997127928378824	3.0	3.0	-2.061609370772765
22.0	-2.6587217359594333	1.268016220331247	-1.4196250098203056	3.0	3.0
23.0	-2.7693151089094763	2.092240556799102	-0.9403695763379349	2.0012281633538977	1.0776705659536296
24.0	-2.773048819214693	3.0	-0.1710084657628372	3.0	-0.6864270922323317
25.0	-2.7923348458148727	1.85380957085633	3.0	3.0	1.172053691601334
26.0	-2.7574362466466757	1.97781619748785	0.009237684306258601	3.0	1.3785442151713823
27.0	-2.767354984378575	3.0	3.0	1.1959503402833604	-3.0
28.0	-2.7763307536883586	3.0	3.0	1.916861145225951	-1.8836475575253104
29.0	-2.761428773951822	2.221365624185582	3.0	2.0276312207601683	-3.0
30.0	-2.7700527461700335	3.0	0.8107955984310227	1.7099911761295519	-1.206359869450389
31.0	-2.766827514474515	3.0	3.0	3.0	1.4951034109727848
32.0	-2.7789670904000845	1.6263238418730355	2.4991607762053425	3.0	0.05092016985307347
33.0	-2.775863660203852	3.0	3.0	2.0769672323013855	-3.0
