Iteration	GP_regression.Mat52.variance	GP_regression.Mat52.lengthscale	GP_regression.Gaussian_noise.variance
1.0	0.9400831150016533	4.3821453208233745	1.0999999987269665e-09
2.0	0.9400831150016533	4.3821453208233745	1.0999999987269665e-09
3.0	0.9355806960786536	4.704040864291879	1.0999999984566625e-09
4.0	0.9084112981727499	4.655402769041605	1.0999999986781506e-09
5.0	0.9676347717541092	4.986507599333506	1.000000000000001e-09
6.0	0.932834217578068	3.8949095556800293	1.0999999990517348e-09
7.0	1.170902357752002	4.43073096555121	0.005702009210345208
8.0	1.240778717403687	4.562520050202015	0.003010721669454009
9.0	1.3036958144220974	4.6666983119847565	0.0006404863865026764
10.0	1.6240600801836478	5.276294843223386	0.0018674795507571942
11.0	1.7179215385168203	5.392141641028299	0.0005172335004728147
12.0	1.805150191051939	5.518581894492124	2.718429168375095e-09
13.0	2.1651315507122733	6.025906986938253	1.0952162935385669e-09
14.0	2.500081138418788	6.667859603609295	0.0020736827409985484
15.0	3.084690331239795	7.268137460240337	0.0014175476296302812
16.0	3.7528783654249676	7.8336056942966765	0.0008437831889066263
17.0	4.276740229169435	8.257369609911208	0.0010023334044235355
18.0	4.939724359132687	8.693758029476504	0.0008108001654799121
19.0	5.546248540171683	9.054919183804024	0.0006116495755833253
20.0	6.361343809406274	9.3995398957121	0.00025197437192677483
21.0	7.636871131779929	9.968476404287173	0.00018585725874969812
22.0	8.811612523822115	10.349657603073348	1.000000000039235e-09
23.0	8.001404307450013	9.918300865841637	1.000000001390587e-09
24.0	8.89235544575046	10.262950722384153	1.099999732152444e-09
25.0	9.789807970853182	10.580507064131403	1e-09
26.0	11.54329813621412	11.131919070670934	1e-09
27.0	13.512983257078028	11.647935489719407	1.0003983594445589e-09
28.0	15.64929762818025	12.138016391065696	1.0000163309055506e-09
29.0	14.804556425070686	11.869047500074796	1e-09
30.0	16.712719379174796	12.295022275229503	1.0000014992840406e-09
31.0	19.07996032933556	12.766212940663952	1e-09
32.0	20.371587671823768	12.934313167999841	1.0000000000025188e-09
33.0	23.143374321470336	13.384363391304273	1e-09
34.0	26.58757842829324	13.90509222391691	1e-09
35.0	29.789651427372686	14.345679427594115	1e-09
36.0	33.34244636312538	14.751596779903366	1e-09
37.0	6.785059261007469	7.628795958551562	1.0007927014274894e-09
38.0	6.483541098505955	7.605679768340518	1.0000000000006041e-09
39.0	6.476844008917837	7.558352662778512	1e-09
40.0	6.117155931372534	7.335362617066376	1.0359411319604111e-09
41.0	5.790497682588494	7.464638875751344	1.040265751920574e-09
42.0	5.961707128776585	7.509090721358434	0.0005509527442730184
43.0	6.818715394924414	7.975567604366479	0.0006510753374856171
44.0	7.23515803933066	8.107160960994714	0.000584568844557141
45.0	7.6530794853302835	8.237432617105345	0.0005373388088244785
46.0	8.074432002300501	8.36598588283993	0.0005208609118546033
47.0	8.610918693718917	8.514690699681228	0.0004837622936926959
48.0	8.71551430204561	8.490722760074334	0.0004653020520920239
49.0	9.296117634252015	8.597343744759844	0.00036480111410128614
50.0	9.845820034079413	8.732361362445893	0.00033955641700408293
51.0	10.266967366962321	8.82184864016076	0.00030563624274689856
52.0	10.830098859621863	8.944539880204811	0.00027388469554427437
53.0	11.244000598419444	9.039992957865561	0.0002809065240841011
54.0	11.224146206947177	9.035961649412947	0.0003468291333657269
55.0	11.333170779405094	9.024203004780832	0.0003553195374246024
56.0	12.088859142731453	9.198631744193221	0.0003811298162913982
57.0	12.357839465937557	9.214664688091524	0.00032459462802883894
58.0	12.791030557912565	9.28118990693404	0.00033753243223551125
59.0	13.203483219264497	9.355328323514422	0.00033766386511353076
60.0	13.683218506902984	9.432486897011477	0.00031463534569600374
61.0	14.385949868162529	9.534358551081336	0.0003120865742602116
62.0	14.557621107162957	9.547803228965126	0.0003050068411431197
63.0	15.269358418275472	9.65549728402479	0.0003214256852106206
64.0	15.52510606358125	9.67667290218633	0.00029755923024951637
65.0	15.957979628334064	9.72644908454659	0.00026765466622183273
66.0	16.42320871980286	9.767416786487718	0.00022952698559448715
67.0	16.49303997962509	9.786564403157428	0.00024551366923658075
68.0	16.652091215190225	9.784334376171975	0.00024755888200724994
69.0	17.28122961497515	9.863999367411715	0.0002329836478388537
70.0	18.03238541054596	9.967097742220838	0.00022327516513203068
71.0	18.496948513692683	10.006256764427942	0.00019336300270161185
72.0	18.980372728796535	10.071981872738707	0.00019180167409393382
73.0	20.348987288281293	10.2686228538133	0.0002136938035553556
74.0	20.45731415526363	10.238589626166798	0.0001736551218471979
75.0	21.26792633843447	10.330014551903389	0.00017359878355963104
76.0	22.084541957055677	10.419970389884076	0.00016966450533856045
77.0	22.697983564595024	10.474200132986473	0.0001580692036361373
78.0	23.13482174030791	10.493575051469437	0.00014791839186675514
79.0	23.434542925998812	10.506602210244631	0.0001439270092923886
80.0	24.059049251809903	10.556597629187541	0.000130040063490558
81.0	24.842726425967104	10.62608385089717	0.0001224717710805942
82.0	26.362140956364634	10.762453721600949	0.0001173266407640187
83.0	27.40385744679126	10.865540987910201	0.00012365872739693935
84.0	28.416945204222696	10.958006819849185	0.00012048215775392543
85.0	29.116863083687655	11.01838109182801	0.00011882750149900392
86.0	29.86415396119628	11.07201516639496	0.00011550010226351585
87.0	30.4614216158102	11.112179912402032	0.00010816522630024987
88.0	31.15824907930099	11.163737751403993	0.00010611662114290233
89.0	31.78453190073707	11.18795688220102	0.00010157178753067454
90.0	32.966178937210096	11.288121955672667	0.0001014761372662758
91.0	34.108044643373205	11.377044774781215	9.860854646753321e-05
92.0	35.26190676657493	11.459288661547152	9.402849157690748e-05
93.0	28.425863312674654	11.14912295436784	8.461507878644424e-05
94.0	29.64789481876753	11.233219278564885	8.275643204578273e-05
95.0	29.596685993474473	11.199623565181744	8.093138510257299e-05
96.0	29.601012143152232	11.15793700899518	6.398842064910521e-05
97.0	30.019764845016542	11.156228573453644	5.9661253795261517e-05
98.0	31.162574860840184	11.248248040556213	5.6805623190300676e-05
99.0	31.834143591295845	11.28843612619172	5.4174468911925056e-05
100.0	32.869478849593975	11.372413518594566	5.320899950320122e-05
101.0	33.855582751285596	11.448520824502621	5.1259956725646e-05
102.0	34.93604988733439	11.53402216593344	5.059724848377299e-05
103.0	36.04315424876349	11.616836049231969	5.311845781724296e-05
104.0	35.57489865471092	11.549469315898975	5.447212771717007e-05
105.0	36.68894047537554	11.627673424300927	5.2343320289730336e-05
106.0	36.99912773555353	11.644308928988924	5.043579597858274e-05
107.0	34.90802855270309	11.435186646124954	4.422401455805985e-05
108.0	36.009995787796285	11.50545961628661	4.2874941176258656e-05
109.0	37.30958940347357	11.572668374576057	3.98251704451531e-05
110.0	38.96307762222738	11.67539903984587	3.834315728824722e-05
111.0	38.96318783006141	11.674895841797271	3.836027590157959e-05
112.0	40.7886784334596	11.785965790077062	3.741994719225305e-05
113.0	41.59650439116977	11.832042786398366	3.762933389376882e-05
114.0	42.877986496979545	11.913147119420511	3.709522335698915e-05
115.0	43.64850470561557	11.961048380249455	3.67934666276058e-05
116.0	45.72254876472971	12.065776272974405	3.971752863762638e-05
117.0	46.307931202650416	12.088497178096349	3.67364994846735e-05
118.0	46.43165670153892	12.077222656137804	3.6830705489999785e-05
119.0	47.60064302003474	12.140523148894708	3.58421569226904e-05
120.0	48.609987168462865	12.170886444915409	4.474493827854576e-05
121.0	50.209210191501306	12.263020739684931	4.4719724122936435e-05
122.0	51.373975403626645	12.279700804129183	4.505863895208444e-05
123.0	51.26386951135189	12.256305847890513	4.547554039342837e-05
124.0	52.193073638039216	12.294805178393897	4.2075890885290086e-05
125.0	54.48934350239542	12.417239840323886	4.271600018653386e-05
126.0	55.62228016118131	12.460861367171136	4.105583741006322e-05
127.0	59.84408491344017	12.716204320514032	6.826957214203672e-05
128.0	60.265674566287075	12.715054469537884	6.48267115782878e-05
129.0	62.36805746350333	12.802967420368786	6.440072422345719e-05
130.0	64.93806544097093	12.929333750397824	8.87744372342955e-05
131.0	67.02259814648184	12.994783842250806	9.462293643418137e-05
132.0	68.10790811204997	13.033167139460822	9.571596255356946e-05
133.0	69.84070930029857	13.103906169321231	9.515030601282852e-05
134.0	70.3341692116487	13.100679091567287	8.985407656880017e-05
135.0	71.71899711185121	13.149769283949436	9.85362756242334e-05
136.0	72.05859371046074	13.138190489810688	9.394661392585474e-05
137.0	74.22607637967337	13.206583919728201	9.837917613543976e-05
138.0	76.11729088989878	13.274090062267902	9.682023062906969e-05
139.0	78.86009316672865	13.399104410694049	0.00010479981212675156
140.0	75.5803442678716	13.233378602490982	0.00010797335694596776
141.0	75.78269977350882	13.215021799377068	0.00010305211845622312
142.0	75.8843560815093	13.191417679312481	9.815216933229388e-05
143.0	77.75076680532351	13.26139286303211	9.743232326448613e-05
144.0	79.45005583158667	13.317055821153186	9.595535218578215e-05
145.0	81.37804223964744	13.384016338944237	9.484112850745901e-05
146.0	82.98214285066607	13.431404007405245	9.494318242878344e-05
147.0	85.19724333197475	13.50874353487801	9.429146504284886e-05
148.0	86.5360572619807	13.538287058820185	9.156865761424893e-05
149.0	88.54359332547315	13.603597166422938	9.114486481994146e-05
150.0	89.39234243541372	13.61432616570827	9.061648125427211e-05
151.0	91.63084661633079	13.682373495107068	9.115262405789963e-05
152.0	92.49215299139361	13.633956154105483	8.990254125553396e-05
153.0	94.16985801621529	13.65161469864447	8.785205066410174e-05
154.0	96.06847539450777	13.71008702568198	8.74616033076174e-05
155.0	96.20213582450017	13.715485244619524	8.926571773946478e-05
