,index,J,z_1
61,61,2.368840500293853,[1.57335054]
97,97,2.3268818479019435,[1.51638279]
11,11,2.306558864267124,[1.45909685]
155,155,2.268176628256094,[1.41964425]
80,80,2.2425030058481217,[1.37967233]
48,48,2.187097289085259,[1.29730031]
145,145,2.1470480504677334,[1.25044171]
87,87,2.1207478164855487,[1.20310291]
161,161,1.9682410243083728,[1.15467181]
15,15,1.864070677454461,[1.10197292]
139,139,1.7257208602551604,[1.03200014]
71,71,1.5909884168321884,[0.95523875]
102,102,1.321570410617361,[0.86087576]
39,39,1.0409584370897451,[0.77002096]
112,112,0.8209587760635952,[0.65908874]
64,64,0.5899770161947443,[0.54531974]
165,165,0.4626092600461547,[-0.96318897]
14,14,0.461167486880459,[-0.69550816]
84,84,0.4599615645436301,[-0.87129519]
147,147,0.4594101886655895,[-0.59227054]
51,51,0.4568370383168719,[-1.0551731]
79,79,0.4551399036631299,[-1.2294287]
156,156,0.4543453058463418,[-1.32371196]
7,7,0.4543050081612392,[-1.4180707]
164,164,0.4532687167738614,[-1.51181849]
75,75,0.4518642587101828,[-0.48827383]
43,43,0.4498651609696871,[-0.28913866]
146,146,0.4467567849225095,[-0.18359774]
151,151,0.4452467474861521,[-0.3886063]
78,78,0.4438569537928011,[-1.97510037]
154,154,0.4438569537928011,[-2.07288499]
13,13,0.4438569537928011,[-2.17073808]
167,167,0.4436727915616337,[-1.88481916]
82,82,0.4435092874248649,[-1.60572705]
47,47,0.4368125977771647,[-1.79414692]
140,140,0.4360693149141507,[0.03767623]
94,94,0.4358056771896081,[0.40172672]
159,159,0.4272212224182637,[-1.69988545]
74,74,0.4256830228697685,[-2.99665641]
157,157,0.4256830228697685,[-2.80196013]
0,0,0.4256830228697685,[-2.89602882]
77,77,0.421291345918148,[-0.07651692]
1,1,0.4193916143133339,[0.15177375]
163,163,0.4190293849255133,[-2.2651824]
81,81,0.413844096565702,[-2.35747744]
55,55,0.4062137186187727,[-2.53096588]
85,85,0.4010205839927733,[-2.70812299]
3,3,0.3870787522859699,[0.25929709]
