Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6	var_7	var_8
1.0	-1.0040850982468459	-1.2019546310966647	2.8504660751834745	2.945840460937678	-0.40916919875209734	-1.3419857340318353	2.7065772820126046	1.4677628963482752	0.056776171969104006
2.0	-1.967705509518004	2.4181914277960193	0.942615755172219	-0.750203078806229	0.9212848798116475	0.790360150726761	-1.7726052196831616	-1.3866633998340079	-2.9459231316750536
3.0	-1.3234129531902468	-1.0593637015896098	0.3808818548516122	-1.4420421133586034	0.014563324072050854	2.3917984736458617	-0.48973243497601304	-2.56603189040354	2.3368155307704646
4.0	-1.2574539325652168	0.5757933544389928	-1.6964089033420313	-1.1398079991097563	-0.7456489666651134	-2.0591218171669965	-2.6405860208684944	-2.1533628189723726	2.9503855796966025
5.0	-1.305814776397374	1.4845948028324676	-1.1427607878056745	0.826595805914438	-2.0579504532970208	2.4276189897729274	-0.12454365925740829	-2.3538058274776437	-1.5437223482657092
6.0	-1.984157671991604	2.87759601851735	1.4567147773576599	-0.8323239823892341	1.4052516925466847	1.5828381770900473	-0.912012796922844	-0.47288224578222726	-0.972991935915053
7.0	-1.6395541357515708	3.0	1.703255171341304	-1.2756840699187433	2.0042875887496003	1.3469293151943464	-1.6947920118271584	-0.6037590739175344	-2.344653328641214
8.0	-2.0028239736057505	2.6213188977240156	1.0811849927434911	-0.6113518868202039	0.9088106898413583	1.1109571755283425	-1.162893918784544	-0.9677830311358446	-1.7050890990036822
9.0	-2.0575997190362063	3.0	1.1907443616404756	-0.1805156416501169	0.7514591664773151	0.8560418721162232	-0.5425908762739333	-0.39405777896193417	-0.6577316702923445
10.0	-2.093352363491064	3.0	1.1070388856971736	0.008846040602746087	0.17703382643846483	-0.7023314802003878	-1.205959566239005	-1.6579373350181597	-2.4720591613581226
11.0	-2.094393456103596	3.0	0.6095909656440412	1.2071308246097454	0.13921881025503507	-0.536429237301334	-2.8545093076055688	-1.2915661650523558	-3.0
12.0	-2.088581302729439	3.0	2.1418174556413163	0.5093296580463987	-0.5866759270282834	-0.5751812126319853	-3.0	-3.0	-3.0
13.0	-1.9804340727126464	3.0	1.347392084233756	-0.5744634437737215	-1.585328571597456	-0.9980690618637726	-3.0	-0.9734587712717009	-3.0
14.0	-2.1033476390257637	3.0	0.20257682419312473	0.43386197395847775	0.8777873753913003	-1.8548415975607115	-2.9097248254670682	-3.0	-3.0
15.0	-2.105150931516461	3.0	2.258514177254903	3.0	1.121608848517388	-2.824906820109188	-3.0	-3.0	-3.0
16.0	-2.083120985164415	3.0	1.0638529729298505	2.467470089375279	1.7301702082395198	-0.6410740692992726	-1.737024294046535	-3.0	-3.0
17.0	-2.0987802814839935	3.0	-1.6929769175963172	3.0	3.0	-3.0	-3.0	-3.0	-3.0
18.0	-1.86105446219277	3.0	-3.0	3.0	3.0	-3.0	-3.0	1.2682717746924514	-3.0
19.0	-2.1170260854077583	0.5849301945616276	0.5610385987025946	3.0	3.0	-3.0	-3.0	-3.0	-3.0
20.0	-2.0940482528616484	3.0	1.0161727072804232	3.0	3.0	-3.0	-3.0	-3.0	-0.8717072163679553
21.0	-2.077764700920298	3.0	0.3987049968686735	2.0941512757583993	3.0	-3.0	-0.9451433513364952	-3.0	-3.0
22.0	-2.2519568483277523	3.0	3.0	3.0	3.0	3.0	-3.0	-1.5075662849400853	2.9605305185352258
23.0	-2.1752786936609882	3.0	3.0	3.0	3.0	3.0	-3.0	1.7917282724704748	3.0
24.0	-2.240896990812513	3.0	3.0	2.1615087718024384	3.0	3.0	-0.3925071505060794	-0.8014865711999344	3.0
