Iteration	GP_regression.Mat52.variance	GP_regression.Mat52.lengthscale	GP_regression.Gaussian_noise.variance
1.0	0.8972961238369861	2.7083915223668846	2.386512687805666e-08
2.0	0.8972961238369861	2.7083915223668846	2.386512687805666e-08
3.0	0.7146601015521387	1.9116657439001083	0.24072223529804287
4.0	0.9550867058835777	2.302053407583914	3.3682462511208304e-09
5.0	1.0088064510456907	2.7686753222010054	3.368245754267532e-09
6.0	1.0484043888501857	3.0198722897976427	2.0112391562827667e-09
7.0	1.087225909649539	3.207012127765686	1.0000000000000286e-09
8.0	1.1224634472023962	3.3530946567234308	1.0999999989422843e-09
9.0	1.1630778801886268	3.4998698256650833	1.099999998936303e-09
10.0	1.2096655767140319	3.5972406705624267	1.0999999994853058e-09
11.0	1.1985785736076136	3.4582102139907214	1.0999999993297632e-09
12.0	1.2492298472153474	3.594538793637139	1.0999999990425334e-09
13.0	1.3004777261688947	3.7322711935804334	1.099999999056482e-09
14.0	1.2700921693344416	3.6489100897121243	1.0999999993298939e-09
15.0	1.301109407211675	3.7366843901152507	1.0999999993484831e-09
16.0	1.352271111272774	3.8820988859548473	1.0999999995330182e-09
17.0	1.3397439325990814	3.8539230006732725	1.0999999997228454e-09
18.0	1.3834228839833018	3.923942531788398	1.0999999997306633e-09
19.0	1.9154064401540563	4.792965010943283	1.0000000000009972e-09
20.0	1.5667188087162907	5.503670296051859	1.000000978875469e-09
21.0	1.443792990646934	5.977880467657071	1.0000000000014867e-09
22.0	1.2484425810906616	6.327765506882628	1.0999999982790978e-09
23.0	1.1962986182320094	6.577764514095055	1.0999999966222828e-09
24.0	1.1387349936005826	7.03698079139035	1e-09
25.0	1.1293410398562318	7.445485668225002	1.099999994939994e-09
26.0	1.0844128276104432	7.6305597263354175	1.0999999907481531e-09
27.0	1.150510470684367	8.147782628820897	0.00014482086686341011
28.0	1.2514986380444195	8.777620068563362	0.0002485565290251191
29.0	1.24984762779529	9.157686916964781	0.00040246357150371576
30.0	1.2645872713241375	9.564241487834522	0.0006391886099328324
31.0	1.1806257757230911	9.384750546441872	0.0004099424242466794
32.0	1.2764593091301366	10.030257507504572	0.0008882544463553514
