Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6	var_7	var_8
67.0	-2.2420795411392285	3.0	3.0	-0.9486318265480651	3.0	3.0	-3.0	-3.0	-3.0
68.0	-0.8580053713209437	3.0	3.0	-3.0	-3.0	-3.0	3.0	-3.0	-3.0
69.0	-2.7755845974951705	3.0	1.202365341208077	3.0	3.0	-0.3645389848330512	3.0	-3.0	-3.0
70.0	-2.7757538780783704	3.0	3.0	3.0	3.0	3.0	3.0	-3.0	-3.0
71.0	-2.7762978604706663	3.0	1.8660603151109136	1.759996166670776	1.2975118391116582	3.0	3.0	-3.0	-3.0
72.0	-2.8140469427455077	3.0	3.0	3.0	-0.0013581650958048876	0.3700925795710881	-0.1117471552018033	-3.0	3.0
73.0	-2.7706245805593173	3.0	0.5131644879388082	3.0	3.0	2.2900245153956793	-1.435864811516131	-3.0	-3.0
74.0	-2.7618689726995975	3.0	3.0	3.0	0.5739342142734318	1.9582525734112628	-0.31900328826352586	-3.0	0.327675224395801
75.0	-2.2304871448060344	2.6763238399937315	2.83860721975485	-0.46350501105338343	2.8082490840764813	0.4015791714966673	-2.773638304067228	-2.676783134470624	1.775204289655252
76.0	-2.7651584122488186	3.0	3.0	3.0	0.7990943294902827	1.9248659594023543	-1.6528078554000651	-3.0	3.0
77.0	-2.7708681093167224	3.0	3.0	3.0	0.01203534904061796	3.0	3.0	-3.0	-3.0
78.0	-2.7748450250338474	3.0	3.0	3.0	3.0	1.1015916683396532	-1.7053065658667932	-3.0	-1.2415394694330457
79.0	-2.8164812737093303	3.0	3.0	3.0	-0.5791112452826819	0.078266121336492	3.0	-1.423955779312303	3.0
80.0	-2.6924951522681386	3.0	-0.4638167276124955	-0.23206636575807205	3.0	3.0	3.0	-3.0	-3.0
81.0	-2.801526853131093	3.0	3.0	3.0	-0.7063163509123787	0.15469895900906597	3.0	-3.0	3.0
82.0	-0.2878581116894168	2.80563075159187	-2.159324134765462	-2.7822776689894595	2.5704411534159592	0.4622089783607453	-2.908109789743878	-2.0700575959515812	2.56694152085397
83.0	-2.8237907493716294	3.0	3.0	3.0	0.3266273476332835	-2.7407833868036513	3.0	-1.199832110639834	3.0
84.0	-2.7764780834155247	3.0	3.0	3.0	3.0	-0.5569155096669524	3.0	-3.0	-3.0
85.0	-2.8227777891393013	3.0	3.0	3.0	1.001616636931957	-3.0	3.0	-3.0	0.7254211322217339
